,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
166,Fencino 100micrograms/hour transdermal patches,0407020A0BQAEAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
167,Methadone 20mg/2ml solution for injection ampoules,0407020M0AAA3A3,20.0,3.0,60.0,Methadone 20mg/2ml solution for injection ampoules,2,10.0,30.0,-30.0,0.5
168,Pentazocine 50mg capsules,0407020T0AAAAAA,50.0,0.37,18.5,Pentazocine 50mg capsules,1,50.0,18.5,0.0,1.0
169,Effentora 200microgram buccal tablets,0407020A0BKABBD,0.2,130.0,26.0,Fentanyl 200microgram buccal tablets sugar free,1,0.2,26.0,0.0,1.0
170,Morphine sulfate 20mg/2ml solution for injection ampoules,0407020Q0AADIDI,20.0,2.0,40.0,Morphine sulfate 20mg/2ml solution for injection ampoules,2,10.0,20.0,-20.0,0.5
171,Butec 5micrograms/hour transdermal patches,0407020B0BHAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
172,BuTrans 10micrograms/hour transdermal patches,0407020B0BEABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
173,Longtec 80mg modified-release tablets,0407020ADBEAEAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
174,Reletrans 15micrograms/hour transdermal patches,0407020B0BKACAK,2.52,100.0,252.0,Buprenorphine 15micrograms/hour transdermal patches,1,2.52,252.0,0.0,1.0
175,Yemex 25micrograms/hour transdermal patches,0407020A0BVABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
176,Co-dydramol 10mg/500mg/5ml oral suspension,0407010N0AAAGAG,2.0,0.1,0.2,Co-dydramol 10mg/500mg/5ml oral suspension,1,2.0,0.2,0.0,1.0
177,Fentanyl 50micrograms/dose nasal spray,0407020A0AABHBH,0.5,160.0,80.0,Fentanyl 50micrograms/dose nasal spray,1,0.05,8.0,-72.0,0.1
178,Dextromoramide 5mg tablets,0407020D0AAADAD,5.0,4.0,20.0,Dextromoramide 5mg tablets,1,5.0,20.0,0.0,1.0
179,Morphine hydrochloride 15mg/5ml oral solution,0407020P0AAAXAX,3.0,1.0,3.0,Morphine hydrochloride 15mg/5ml oral solution,1,3.0,3.0,0.0,1.0
180,Morphine sulfate 60mg suppositories,0407020Q0AABNBN,60.0,1.0,60.0,Morphine sulfate 60mg suppositories,1,60.0,60.0,0.0,1.0
181,Morphine 0.1% gel,0407020Q0AAFSFS,,,0.0,,,,,,
182,Palladone 2.6mg capsules,040702050BBABAD,2.6,5.0,13.0,Hydromorphone 2.6mg capsules,1,2.6,13.0,0.0,1.0
183,Victanyl 100micrograms/hour transdermal patches,0407020A0BMADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
184,Meptid 100mg/1ml solution for injection ampoules,0407020L0BBABAA,100.0,0.03,3.0,Meptazinol 100mg/1ml solution for injection ampoules,1,100.0,3.0,0.0,1.0
185,Oxylan 5mg modified-release tablets (Actavis),0407020ADBFAFAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
186,Oxycodone 20mg / Naloxone 10mg modified-release tablets,0407020AFAAABAB,20.0,2.0,40.0,Oxycodone 20mg / Naloxone 10mg modified-release tablets,1,20.0,30.0,-10.0,0.75
187,Codipar 15mg/500mg tablets,0407010F0BVAAAK,15.0,0.1,1.5,Co-codamol 15mg/500mg tablets,1,15.0,1.5,0.0,1.0
188,Buplast 70micrograms/hour transdermal patches,0407020B0BNACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
189,Opiodur 12micrograms/hour transdermal patches (RX Farma),0407020A0BRAFAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
190,Buprenorphine 300micrograms/1ml inj ampoules,0407020B0AAAAAA,0.3,100.0,30.0,Buprenorphine 300micrograms/1ml solution for injection ampoules,1,0.3,30.0,0.0,1.0
191,Morphine 0.2% in Intrasite gel,0407020Q0AAFYFY,,,0.0,,,,,,
192,Co-codamol 8mg/500mg tablets,0407010F0AAAAAA,8.0,0.1,0.8,Co-codamol 8mg/500mg tablets,1,8.0,0.8,0.0,1.0
193,Dihydrocodeine 40mg tablets,0407020G0AAAIAI,40.0,0.1,4.0,Dihydrocodeine 40mg tablets,1,40.0,4.0,0.0,1.0
194,Zydol SR 100mg tablets,040702040BBACAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
195,OxyContin 40mg modified-release tablets,0407020ADBCACAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
196,Oxycodone 80mg modified-release tablets,0407020ADAAAIAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
197,Pethidine 10mg/5ml oral solution,0407020V0AABABA,2.0,0.1,0.2,Pethidine 10mg/5ml oral solution,1,2.0,0.2,0.0,1.0
198,Sevodyne 5micrograms/hour transdermal patches,0407020B0BMAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
199,Temgesic 400microgram sublingual tablets,0407020B0BBADAD,0.4,60.0,24.0,Buprenorphine 400microgram sublingual tablets sugar free,1,0.4,24.0,0.0,1.0
200,Fentanyl 37.5microgram/hour transdermal patches,0407020A0AABWBW,0.3,100.0,30.0,Fentanyl 37.5microgram/hour transdermal patches,1,2.7,270.0,240.0,9.0
201,Fentanyl 200microgram lozenges,0407020A0AAAIAI,0.2,100.0,20.0,Fentanyl 200microgram lozenges,1,0.2,26.0,6.0,1.3
202,Fencino 25micrograms/hour transdermal patches,0407020A0BQABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
203,Tapentadol 200mg modified-release tablets,0407020AGAAAFAF,200.0,0.4,80.0,Tapentadol 200mg modified-release tablets,1,200.0,80.0,0.0,1.0
204,Zamadol 24hr 150mg modified-release tablets,040702040BDAHAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
205,Opiodur 50micrograms/hour transdermal patches (Pfizer),0407020A0BRAEAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
206,Dolocodon PR 40mg tablets,0407020ADBIABAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
207,Oxycodone 40mg/5ml / Naloxone 20mg/5ml oral suspension,0407020AFAAAEAE,8.0,2.0,16.0,Oxycodone 40mg/5ml / Naloxone 20mg/5ml oral suspension,1,8.0,12.0,-4.0,0.75
208,Myloxifin 40mg/20mg modified-release tablets,0407020AFBCACAD,40.0,2.0,80.0,Oxycodone 40mg / Naloxone 20mg modified-release tablets,1,40.0,60.0,-20.0,0.75
209,Morphine sulfate powder,0407020Q0AAANAN,,,0.0,,,,,,
210,Morphine 10mg tablets,0407020Q0AACDCD,10.0,1.0,10.0,Morphine 10mg tablets,1,10.0,10.0,0.0,1.0
211,MST Continus 30mg tablets,0407020Q0BBABAL,30.0,1.0,30.0,Morphine 30mg modified-release tablets,1,30.0,30.0,0.0,1.0
212,OxyContin 30mg modified-release tablets,0407020ADBCAHAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
213,Hydromorphone 8mg modified-release capsules,040702050AAACAC,8.0,5.0,40.0,Hydromorphone 8mg modified-release capsules,1,8.0,40.0,0.0,1.0
214,Zeridame SR 150mg tablets,040702040BLABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
215,Oxylan 5mg modified-release tablets (Chanelle Medical),0407020ADBFAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
216,Morcap SR 100mg capsules,0407020Q0BJACEB,100.0,1.0,100.0,Morphine 100mg modified-release capsules,1,100.0,100.0,0.0,1.0
217,Morphine sulfate 100mg suppositories,0407020Q0AABPBP,100.0,1.0,100.0,Morphine sulfate 100mg suppositories,1,100.0,100.0,0.0,1.0
218,Morphine sulfate 100mg/5ml soln unit dose vials sugar free,0407020Q0AACUCU,100.0,1.0,100.0,Morphine sulfate 100mg/5ml oral solution unit dose vials sugar free,5,20.0,20.0,-80.0,0.2
219,Physeptone 5mg tablets,0407020M0BBAAAE,5.0,3.0,15.0,Methadone 5mg tablets,1,5.0,15.0,0.0,1.0
220,Sevodyne 10micrograms/hour transdermal patches,0407020B0BMABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
221,Tramadol 75mg modified-release tablets,040702040AAAPAP,75.0,0.1,7.5,Tramadol 75mg modified-release tablets,1,75.0,7.5,0.0,1.0
222,Bupramyl 10micrograms/hour transdermal patches,0407020B0BQABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
223,Oxypro 20mg modified-release tablets,0407020ADBSADAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
224,OxyContin 15mg modified-release tablets,0407020ADBCAIAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
225,Morphine sulfate 1mg/1ml solution for injection ampoules,0407020Q0AAA4A4,1.0,2.0,2.0,Morphine sulfate 1mg/1ml solution for injection ampoules,1,1.0,2.0,0.0,1.0
226,Morphine sulfate 60mg/2ml solution for injection ampoules,0407020Q0AAAMAM,60.0,2.0,120.0,Morphine sulfate 60mg/2ml solution for injection ampoules,2,30.0,60.0,-60.0,0.5
227,Oxycodone 5mg/5ml oral solution,0407020ADAAAJAJ,1.0,2.0,2.0,Oxycodone 5mg/5ml oral solution,1,1.0,1.5,-0.5,0.75
228,Tilodol SR 150mg tablets,040702040BSABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
229,Tramadol 50mg soluble tablets sugar free,040702040AAAFAF,50.0,0.1,5.0,Tramadol 50mg soluble tablets sugar free,1,50.0,5.0,0.0,1.0
230,Fentalis Reservoir 75micrograms/hour transdermal patches,0407020A0BGACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
231,Morphine sulfate 20mg/1ml solution for injection ampoules,0407020Q0AAAFAF,20.0,2.0,40.0,Morphine sulfate 20mg/1ml solution for injection ampoules,1,20.0,40.0,0.0,1.0
232,Zydol 50mg capsules,040702040BBAAAA,50.0,0.1,5.0,Tramadol 50mg capsules,1,50.0,5.0,0.0,1.0
233,Mabron 150mg modified-release tablets (Morningside),040702040BHABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
234,Methadone 40mg capsules,0407020M0AABTBT,40.0,3.0,120.0,Methadone 40mg capsules,1,40.0,120.0,0.0,1.0
235,Physeptone 50mg/2ml solution for injection ampoules,0407020M0BBAHA6,50.0,3.0,150.0,Methadone 50mg/2ml solution for injection ampoules,2,25.0,75.0,-75.0,0.5
236,Morphine sulfate 5mg/5ml oral solution,0407020Q0AADNDN,1.0,1.0,1.0,Morphine sulfate 5mg/5ml oral solution,1,1.0,1.0,0.0,1.0
237,Synastone 10mg/1ml solution for injection ampoules,0407020M0BCAAAV,10.0,3.0,30.0,Methadone 10mg/1ml solution for injection ampoules,1,10.0,30.0,0.0,1.0
238,Hapoctasin 35micrograms/hour transdermal patches,0407020B0BGAAAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
239,Buprenorphine 20micrograms/hour transdermal patches,0407020B0AAAJAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
240,Matrifen 25micrograms/hour transdermal patches,0407020A0BEABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
241,Hapoctasin 70micrograms/hour transdermal patches,0407020B0BGACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
242,Bupeaze 70micrograms/hour transdermal patches,0407020B0BIACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
243,OxyNorm 10mg/1ml solution for injection ampoules,0407020ADBBAFAL,10.0,2.0,20.0,Oxycodone 10mg/1ml solution for injection ampoules,1,10.0,30.0,10.0,1.5
244,Synastone 50mg/1ml solution for injection ampoules,0407020M0BCABAC,50.0,3.0,150.0,Methadone 50mg/1ml solution for injection ampoules,1,50.0,150.0,0.0,1.0
245,Tramadol 37.5mg / Paracetamol 325mg tablets,040702040AAAUAU,37.5,0.1,3.75,Tramadol 37.5mg / Paracetamol 325mg tablets,1,37.5,3.75,0.0,1.0
246,Morphine 200mg modified-release tablets,0407020Q0AAAGAG,200.0,1.0,200.0,Morphine 200mg modified-release tablets,1,200.0,200.0,0.0,1.0
247,OxyNorm 10mg/ml concentrate oral solution,0407020ADBBABAB,10.0,2.0,20.0,Oxycodone 10mg/ml oral solution sugar free,1,10.0,15.0,-5.0,0.75
248,Morphgesic SR 60mg tablets,0407020Q0BNACAI,60.0,1.0,60.0,Morphine 60mg modified-release tablets,1,60.0,60.0,0.0,1.0
249,Durogesic 50micrograms transdermal patches,0407020A0BBABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
250,Diamorphine 320mg/5ml oral solution,0407020K0AAFEFE,64.0,1.0,64.0,Diamorphine 320mg/5ml oral solution,1,64.0,64.0,0.0,1.0
251,Candox 20mg modified-release tablets,0407020ADBGABAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
252,Zomorph 10mg modified-release capsules,0407020Q0BKAAEF,10.0,1.0,10.0,Morphine 10mg modified-release capsules,1,10.0,10.0,0.0,1.0
253,Tramulief SR 100mg tablets,040702040BKAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
254,Oxycodone 30mg modified-release tablets,0407020ADAAARAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
255,Morphine 5mg modified-release tablets,0407020Q0AACGCG,5.0,1.0,5.0,Morphine 5mg modified-release tablets,1,5.0,5.0,0.0,1.0
256,Zamadol 24hr 300mg modified-release tablets,040702040BDAJAM,300.0,0.1,30.0,Tramadol 300mg modified-release tablets,1,300.0,30.0,0.0,1.0
257,Fentanyl 800microgram buccal tablets sugar free,0407020A0AABGBG,0.8,130.0,104.0,Fentanyl 800microgram buccal tablets sugar free,1,0.8,104.0,0.0,1.0
258,Shortec liquid 1mg/ml oral solution,0407020ADBJAGAA,1.0,2.0,2.0,Oxycodone 5mg/5ml oral solution sugar free,5,1.0,1.5,-0.5,0.75
259,Oxyargin 20mg/10mg modified-release tablets,0407020AFBDACAB,20.0,2.0,40.0,Oxycodone 20mg / Naloxone 10mg modified-release tablets,1,20.0,30.0,-10.0,0.75
260,Zomestine 80mg modified-release tablets,0407020ADBNAAAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
261,Carexil 40mg modified-release tablets,0407020ADBDADAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
262,Paracodol 8mg/500mg capsules,0407010F0BBAAAB,8.0,0.1,0.8,Co-codamol 8mg/500mg capsules,1,8.0,0.8,0.0,1.0
263,Oxyargin 5mg/2.5mg modified-release tablets,0407020AFBDAAAC,5.0,2.0,10.0,Oxycodone 5mg / Naloxone 2.5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
264,Dihydrocodeine 10mg/5ml oral solution,0407020G0AAAAAA,2.0,0.1,0.2,Dihydrocodeine 10mg/5ml oral solution,5,2.0,0.2,0.0,1.0
265,Filnarine SR 60mg tablets,0407020Q0BMACAI,60.0,1.0,60.0,Morphine 60mg modified-release tablets,1,60.0,60.0,0.0,1.0
266,Physeptone 20mg/2ml solution for injection ampoules,0407020M0BBACA3,20.0,3.0,60.0,Methadone 20mg/2ml solution for injection ampoules,2,10.0,30.0,-30.0,0.5
267,Pethidine 50mg/5ml oral solution,0407020V0AAATAT,10.0,1.0,10.0,Pethidine 50mg/5ml oral solution,1,10.0,1.0,-9.0,0.1
268,Codeine 10mg/5ml oral liquid,0407020C0AAAYAY,2.0,0.1,0.2,Codeine 10mg/5ml oral solution,1,2.0,0.2,0.0,1.0
269,Codeine 10mg/5ml oral liquid,0407020C0AAAYAY,2.0,0.1,0.2,Codeine 10mg/5ml oral suspension,1,2.0,0.2,0.0,1.0
270,Oxeltra 15mg modified-release tablets,0407020ADBLAGAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
271,Maxitram SR 50mg capsules,040702040BPAAAG,50.0,0.1,5.0,Tramadol 50mg modified-release capsules,1,50.0,5.0,0.0,1.0
272,Effentora 400microgram buccal tablets,0407020A0BKACBE,0.4,130.0,52.0,Fentanyl 400microgram buccal tablets sugar free,1,0.4,52.0,0.0,1.0
273,Morphine sulfate 5mg/5ml solution for injection ampoules,0407020Q0AAFZFZ,5.0,2.0,10.0,Morphine sulfate 5mg/5ml solution for injection ampoules,5,1.0,2.0,-8.0,0.2
274,Tylex 30mg/500mg effervescent tablets,0407010F0BEABAF,30.0,0.1,3.0,Co-codamol 30mg/500mg effervescent tablets,1,30.0,3.0,0.0,1.0
275,Morphine 200mg modified-release granules sachets sugar free,0407020Q0AADEDE,200.0,1.0,200.0,Morphine 200mg modified-release granules sachets sugar free,1,200.0,200.0,0.0,1.0
276,Zomestine 40mg modified-release tablets,0407020ADBNABAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
277,Morphine 60mg modified-release tablets,0407020Q0AAAIAI,60.0,1.0,60.0,Morphine 60mg modified-release tablets,1,60.0,60.0,0.0,1.0
278,MST Continus 5mg tablets,0407020Q0BBAKCG,5.0,1.0,5.0,Morphine 5mg modified-release tablets,1,5.0,5.0,0.0,1.0
279,OxyContin 5mg modified-release tablets,0407020ADBCAEAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
280,MXL 60mg capsules,0407020Q0BIABEH,60.0,1.0,60.0,Morphine 60mg modified-release capsules,1,60.0,60.0,0.0,1.0
281,Mabron 200mg modified-release tablets (Morningside),040702040BHACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
282,Pethidine 50mg/5ml solution for injection ampoules,0407020V0AAAPAP,50.0,0.24,12.0,Pethidine 50mg/5ml solution for injection ampoules,5,10.0,2.4,-9.6,0.19999999999999998
283,Papaveretum 15.4mg/1ml solution for injection ampoules,0407020ABAAABAB,15.4,1.0,15.4,Papaveretum 15.4mg/1ml solution for injection ampoules,1,15.4,118.58,103.2,7.699999999999999
284,Sevredol 20mg tablets,0407020Q0BHADCE,20.0,1.0,20.0,Morphine 20mg tablets,1,20.0,20.0,0.0,1.0
285,BuTrans 20micrograms/hour transdermal patches,0407020B0BEACAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
286,Abstral 200microgram sublingual tablets,0407020A0BJABAX,0.2,130.0,26.0,Fentanyl 200microgram sublingual tablets sugar free,1,0.2,26.0,0.0,1.0
287,Zytram SR 100mg tablets,040702040BVACAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
288,Invodol SR 150mg tablets,040702040BTABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
289,Osmanil 100micrograms/hour transdermal patches,0407020A0BLADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
290,Diamorphine 25mg/5ml oral solution,0407020K0AADJDJ,5.0,1.0,5.0,Diamorphine 25mg/5ml oral solution,1,5.0,5.0,0.0,1.0
291,Leveraxo 60mg modified-release tablets,0407020ADBPAFAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
292,Kapake 30mg/500mg tablets,0407010F0BHAAAH,30.0,0.1,3.0,Co-codamol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
293,Morphine sulfate 10mg/1ml solution for injection ampoules,0407020Q0AAABAB,10.0,2.0,20.0,Morphine sulfate 10mg/1ml solution for injection ampoules,1,10.0,20.0,0.0,1.0
294,Tramulief SR 200mg tablets,040702040BKACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
295,Dromadol SR 100mg tablets,040702040BEABAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
296,Codeine phosphate powder,0407020C0AAAGAG,,,0.0,,,,,,
297,MST Continus 100mg tablets,0407020Q0BBADAH,100.0,1.0,100.0,Morphine 100mg modified-release tablets,1,100.0,100.0,0.0,1.0
298,Codeine 25mg/5ml oral solution,0407020C0AAABAB,5.0,0.1,0.5,Codeine 25mg/5ml oral solution,5,5.0,0.5,0.0,1.0
299,Fentanyl 100microgram sublingual tablets sugar free,0407020A0AAAWAW,0.1,130.0,13.0,Fentanyl 100microgram sublingual tablets sugar free,1,0.1,13.0,0.0,1.0
300,Morphine sulfate 10mg/1ml inj pre-filled syringes,0407020Q0AAFCFC,10.0,2.0,20.0,Morphine sulfate 10mg/1ml solution for injection pre-filled syringes,1,10.0,20.0,0.0,1.0
301,Morphine sulfate 50mg/50ml solution for infusion vials,0407020Q0AAENEN,50.0,2.0,100.0,Morphine sulfate 50mg/50ml solution for infusion vials,50,1.0,2.0,-98.0,0.02
302,Osmach 100micrograms/hour transdermal patches,0407020A0BHADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
303,Tramadol 50mg modified-release tablets,040702040AAAYAY,50.0,0.1,5.0,Tramadol 50mg modified-release tablets,1,50.0,5.0,0.0,1.0
304,Matrifen 12micrograms/hour transdermal patches,0407020A0BEAAAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
305,Morphine 20mg modified-release granules sachets sugar free,0407020Q0AACVCV,20.0,1.0,20.0,Morphine 20mg modified-release granules sachets sugar free,1,20.0,20.0,0.0,1.0
306,Dolocodon PR 20mg tablets,0407020ADBIAAAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
307,Co-codamol 8mg/500mg capsules,0407010F0AAABAB,8.0,0.1,0.8,Co-codamol 8mg/500mg capsules,1,8.0,0.8,0.0,1.0
308,Oxeltra 60mg modified-release tablets,0407020ADBLADAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
309,Tramquel SR 50mg capsules,040702040BJAAAG,50.0,0.1,5.0,Tramadol 50mg modified-release capsules,1,50.0,5.0,0.0,1.0
310,Dihydrocodeine 50mg/1ml solution for injection ampoules,0407020G0AAABAB,50.0,0.1,5.0,Dihydrocodeine 50mg/1ml solution for injection ampoules,1,50.0,5.0,0.0,1.0
311,Mylafent 12micrograms/hour transdermal patches,0407020A0BUAAAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
312,Kapake 30mg/500mg effervescent tablets,0407010F0BHAEAF,30.0,0.1,3.0,Co-codamol 30mg/500mg effervescent tablets,1,30.0,3.0,0.0,1.0
313,Sevredol 10mg tablets,0407020Q0BHACCD,10.0,1.0,10.0,Morphine 10mg tablets,1,10.0,10.0,0.0,1.0
314,Tramadol 100mg/ml oral drops,040702040AABBBB,100.0,0.1,10.0,Tramadol 100mg/ml oral drops,1,100.0,10.0,0.0,1.0
315,Tradorec XL 300mg tablets,040702040BIACAM,300.0,0.1,30.0,Tramadol 300mg modified-release tablets,1,300.0,30.0,0.0,1.0
316,Diamorphine 100mg powder for solution for injection vials,0407020K0AAEHEH,100.0,3.0,300.0,Diamorphine 100mg powder for solution for injection vials,1,100.0,300.0,0.0,1.0
317,Abstral 400microgram sublingual tablets,0407020A0BJADAZ,0.4,130.0,52.0,Fentanyl 400microgram sublingual tablets sugar free,1,0.4,52.0,0.0,1.0
318,Lynlor 10mg capsules,0407020ADBHABAD,10.0,2.0,20.0,Oxycodone 10mg capsules,1,10.0,15.0,-5.0,0.75
319,Co-codamol 30mg/500mg capsules,0407010F0AAADAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
320,Fencino 50micrograms/hour transdermal patches,0407020A0BQACAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
321,Oxycodone 10mg modified-release tablets,0407020ADAAAFAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
322,Oramorph 20mg/ml concentrated oral solution,0407020Q0BCABA6,20.0,1.0,20.0,Morphine sulfate 20mg/ml oral solution sugar free,1,20.0,20.0,0.0,1.0
323,Oxypro 15mg modified-release tablets,0407020ADBSACAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
324,Panitaz 20micrograms/hour transdermal patches,0407020B0BLACAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
325,Pethidine 50mg capsules,0407020V0AABFBF,50.0,0.1,5.0,Pethidine 50mg capsules,1,50.0,5.0,0.0,1.0
326,Paracodol 8mg/500mg effervescent tablets,0407010F0BBABAC,8.0,0.1,0.8,Co-codamol 8mg/500mg effervescent tablets,1,8.0,0.8,0.0,1.0
327,BuTrans 5micrograms/hour transdermal patches,0407020B0BEAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
328,Victanyl 75micrograms/hour transdermal patches,0407020A0BMACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
329,Oxylan 40mg modified-release tablets (Chanelle Medical),0407020ADBFADAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
330,Fentanyl 800microgram sublingual tablets sugar free,0407020A0AABBBB,0.8,130.0,104.0,Fentanyl 800microgram sublingual tablets sugar free,1,0.8,104.0,0.0,1.0
331,Morphine 10mg modified-release capsules,0407020Q0AAEFEF,10.0,1.0,10.0,Morphine 10mg modified-release capsules,1,10.0,10.0,0.0,1.0
332,Fentanyl 400microgram lozenges,0407020A0AAAJAJ,0.4,100.0,40.0,Fentanyl 400microgram lozenges,1,0.4,52.0,12.0,1.3
333,Abstral 100microgram sublingual tablets,0407020A0BJAAAW,0.1,130.0,13.0,Fentanyl 100microgram sublingual tablets sugar free,1,0.1,13.0,0.0,1.0
334,Larapam SR 100mg tablets,040702040BGAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
